TransactionID,AccountID,TransactionDate,Amount,TransactionType,PaymentMode,Location,DeviceID,DeviceType,IP_Address,Merchant,FraudFlag,FraudType
T00001,A0005,19-04-2026 06:02,5592,Credit,NetBanking,Hyderabad,D62196,Tablet,10.129.18.97,Zomato,No,Normal
T00002,A0037,23-04-2026 01:55,35911,Debit,NetBanking,Bengaluru,D62431,Tablet,10.197.173.95,Myntra,No,Normal
T00003,A0064,02-05-2026 11:59,35059,Debit,Wallet,Pune,D66440,iPhone,10.150.164.52,CryptoX,No,Normal
T00004,A0011,21-04-2026 21:18,79086,Credit,Card,Chennai,D68183,Laptop,10.228.21.180,GooglePay,No,Normal
T00005,A0079,28-04-2026 08:40,9935,Credit,NetBanking,Hyderabad,D99051,iPhone,10.15.73.224,Amazon,No,Normal
T00006,A0005,09-04-2026 02:15,48115,Credit,Wallet,Hyderabad,D14244,iPhone,10.230.189.190,SteamGames,No,Normal
T00007,A0057,05-04-2026 18:08,52271,Credit,NetBanking,Mumbai,D24869,Android,10.95.255.198,Myntra,No,Normal
T00008,A0072,08-04-2026 08:49,58593,Debit,NetBanking,Chennai,D74382,iPhone,10.62.69.37,AppleStore,No,Normal
T00009,A0058,12-04-2026 22:28,89481,Credit,NetBanking,Chennai,D18511,Laptop,10.153.80.89,ForexHub,No,Normal
T00010,A0047,03-05-2026 07:07,18302,Debit,Wallet,Pune,D57303,Laptop,10.239.66.44,ForexHub,No,Normal
T00011,A0009,20-04-2026 12:45,69003,Credit,Wallet,Kolkata,D85353,Android,10.64.162.37,GooglePay,No,Normal
T00012,A0058,30-04-2026 21:33,72360,Debit,Card,Bengaluru,D75911,Android,10.63.78.155,Swiggy,No,Normal
T00013,A0022,11-04-2026 10:59,45453,Credit,UPI,Delhi,D35729,Laptop,10.64.155.47,Zomato,No,Normal
T00014,A0065,11-04-2026 18:37,86441,Credit,UPI,Kolkata,D13718,Android,10.23.135.107,Swiggy,No,Normal
T00015,A0099,07-05-2026 13:39,65378,Credit,NetBanking,Bengaluru,D42096,Tablet,10.152.232.37,Amazon,No,Normal
T00016,A0089,04-04-2026 05:28,60975,Debit,NetBanking,Hyderabad,D28830,Laptop,10.163.176.204,GooglePay,No,Normal
T00017,A0017,24-04-2026 16:35,31785,Credit,UPI,Delhi,D68929,iPhone,10.72.49.25,Myntra,No,Normal
T00018,A0038,25-04-2026 19:26,21032,Credit,NetBanking,Mumbai,D30885,Tablet,10.239.255.157,Casino247,No,Normal
T00019,A0064,02-04-2026 02:25,31652,Debit,NetBanking,Pune,D16624,Laptop,10.253.240.146,GooglePay,No,Normal
T00020,A0069,01-04-2026 03:27,48043,Credit,NetBanking,Pune,D62505,Android,10.99.185.147,Netflix,No,Normal
T00021,A0010,25-04-2026 16:28,36763,Debit,Card,Pune,D61629,Laptop,10.173.187.73,CryptoX,No,Normal
T00022,A0026,09-05-2026 16:25,6038,Debit,Card,Chennai,D53652,Tablet,10.233.76.71,Amazon,No,Normal
T00023,A0042,10-05-2026 10:10,39321,Credit,Wallet,Chennai,D83783,Laptop,10.243.8.188,BetZone,No,Normal
T00024,A0043,08-04-2026 13:37,82578,Debit,Wallet,Delhi,D95929,iPhone,10.26.245.87,ForexHub,No,Normal
T00025,A0068,11-05-2026 23:39,49932,Debit,Card,Pune,D85047,Android,10.97.9.225,Casino247,No,Normal
T00026,A0041,27-04-2026 04:26,53888,Credit,UPI,Chennai,D28098,iPhone,10.166.244.192,Zomato,No,Normal
T00027,A0041,12-04-2026 14:58,71701,Credit,NetBanking,Hyderabad,D73462,iPhone,10.126.142.152,Myntra,No,Normal
T00028,A0029,20-04-2026 09:45,64194,Credit,Wallet,Delhi,D83464,Laptop,10.147.62.194,AppleStore,No,Normal
T00029,A0051,23-04-2026 04:18,10458,Credit,Wallet,Chennai,D43612,Tablet,10.109.103.138,Netflix,No,Normal
T00030,A0072,18-04-2026 04:06,77017,Debit,Card,Pune,D97796,iPhone,10.119.26.51,AppleStore,No,Normal
T00031,A0053,22-04-2026 22:30,18118,Debit,Card,Bengaluru,D95575,Tablet,10.244.102.147,SteamGames,No,Normal
T00032,A0042,19-04-2026 20:03,11825,Debit,UPI,Mumbai,D64773,iPhone,10.18.203.253,ForexHub,No,Normal
T00033,A0024,19-04-2026 01:00,79107,Debit,NetBanking,Delhi,D69552,Tablet,10.68.239.139,BetZone,No,Normal
T00034,A0025,08-04-2026 10:10,85072,Credit,Card,Pune,D54185,Laptop,10.98.89.207,GooglePay,No,Normal
T00035,A0055,03-05-2026 10:05,12602,Debit,Card,Bengaluru,D52415,iPhone,10.3.133.196,SteamGames,No,Normal
T00036,A0031,29-04-2026 08:21,75188,Debit,NetBanking,Chennai,D57127,iPhone,10.31.60.238,BetZone,No,Normal
T00037,A0040,11-04-2026 12:43,40860,Debit,NetBanking,Delhi,D90560,iPhone,10.112.68.244,AppleStore,No,Normal
T00038,A0020,30-04-2026 23:38,72089,Credit,Card,Kolkata,D42435,Android,10.228.185.39,Paytm,No,Normal
T00039,A0073,08-04-2026 01:53,26597,Debit,Card,Delhi,D78202,Tablet,10.59.105.250,CryptoX,No,Normal
